arts,beauty,education,entertainment,grocery,healthcare,historic,kids,nightlife,parks,restaurant,shopping
5.3315789473684205,11.15263157894737,9.994736842105263,12.452631578947368,7.28421052631579,0.09473684210526316,1.9421052631578946,5.894736842105263,12.963157894736844,3.8421052631578947,14.989473684210527,14.063157894736841
0.625,28.05,4.475,0.8500000000000001,4.925,0.0,0.0,9.45,11.25,1.5750000000000002,32.325,6.5
0.5,20.558333333333334,10.858333333333334,2.3666666666666667,3.15,0.0,0.0,7.0,8.858333333333333,0.0,36.96666666666667,9.716666666666667
1.781818181818182,19.11818181818182,9.1,4.800000000000001,8.163636363636364,0.0,2.4181818181818184,4.263636363636365,5.790909090909091,3.5090909090909093,34.50909090909091,6.572727272727272
0.0,27.8,2.8,0.3,13.02,0.0,0.0,3.34,2.3,0.0,31.580000000000002,18.84
0.4666666666666667,22.522222222222222,9.966666666666667,3.811111111111111,7.566666666666666,1.3888888888888888,0.0,4.655555555555555,11.61111111111111,1.9222222222222223,27.311111111111114,8.777777777777779
0.3666666666666667,8.1,1.7666666666666668,14.6,1.0999999999999999,0.0,0.0,15.133333333333333,11.966666666666667,6.133333333333333,37.266666666666666,3.5333333333333337
0.41428571428571426,10.914285714285715,2.228571428571428,1.5571428571428572,8.8,0.0,0.0,0.9857142857142858,13.357142857142858,0.41428571428571426,52.24285714285714,9.028571428571428
0.20909090909090908,23.318181818181817,6.372727272727272,1.7636363636363634,3.7818181818181817,0.0,0.0,1.3090909090909089,12.609090909090911,0.41818181818181815,37.89090909090909,12.372727272727273
1.22,24.7,4.84,2.32,6.42,0.5,0.0,4.5600000000000005,10.4,1.98,37.18,5.88
2.48,20.82,5.58,6.220000000000001,8.26,0.0,0.0,2.9400000000000004,14.579999999999998,1.54,27.22,10.34
4.315384615384615,19.176923076923075,4.8769230769230765,7.392307692307692,11.36153846153846,0.22307692307692306,0.3153846153846154,6.5,14.2,3.8153846153846156,20.215384615384615,7.607692307692308
2.0727272727272728,12.481818181818182,9.654545454545454,3.872727272727273,5.663636363636363,0.3181818181818182,4.545454545454546,11.063636363636363,7.0636363636363635,6.618181818181818,27.9,8.754545454545456
1.0999999999999999,27.26666666666667,3.8333333333333335,19.96666666666667,4.066666666666666,0.0,0.0,2.766666666666667,3.033333333333333,8.9,22.3,6.733333333333333
0.475,20.425,10.575000000000001,1.3499999999999999,10.65,0.0,0.0,2.1,2.0999999999999996,0.0,42.3625,9.925
2.1999999999999997,22.28181818181818,8.554545454545455,4.463636363636364,6.8090909090909095,0.3,0.5818181818181819,7.0181818181818185,3.0545454545454547,4.818181818181818,30.345454545454547,9.58181818181818
0.13333333333333333,34.51111111111111,11.833333333333334,2.2555555555555555,9.477777777777778,0.0,0.0,8.433333333333334,4.422222222222222,3.8999999999999995,19.38888888888889,5.611111111111111
4.18,12.52,3.9200000000000004,15.879999999999999,5.4399999999999995,0.0,1.6,5.779999999999999,11.419999999999998,3.2,17.240000000000002,18.82
